No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,time 2,time1,delay 1,delay 2,jitter
881,8.238898,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,8.263875,8.238898,0.024977,0.275009,0.250032
882,8.263875,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=5910 Ack=1095 Win=512 Len=0,,,,,,,,8.538884,8.263875,0.275009,0.011349,0.26366
905,8.538884,198.251.205.77,192.168.1.36,TLSv1.2,123,Application Data,,,,,,,,8.550233,8.538884,0.011349,0.063018,0.051669
911,8.550233,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,8.613251,8.550233,0.063018,0.007147,0.055871
917,8.613251,198.251.205.77,192.168.1.36,TLSv1.2,866,Application Data,,,,,,,,8.620398,8.613251,0.007147,0.0644,0.057253
919,8.620398,192.168.1.36,198.251.205.77,TLSv1.2,92,Application Data,,,,,,,,8.684798,8.620398,0.0644,8.3E-05,0.064317
924,8.684798,198.251.205.77,192.168.1.36,TLSv1.2,866,"[TCP Spurious Retransmission] , Application Data",,,,,,,,8.684881,8.684798,8.3E-05,0.105021,0.104938
925,8.684881,192.168.1.36,198.251.205.77,TCP,66,[TCP Dup ACK 919#1] 50988  >  443 [ACK] Seq=1171 Ack=6791 Win=513 Len=0 SLE=5979 SRE=6791,,,,,,,,8.789902,8.684881,0.105021,0.024995,0.080026
934,8.789902,192.168.1.36,198.251.205.77,TCP,130,"[TCP Retransmission] 50988  >  443 [PSH, ACK] Seq=1095 Ack=6791 Win=513 Len=76",,,,,,,,8.814897,8.789902,0.024995,0.562531,0.537536
940,8.814897,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=6791 Ack=1171 Win=512 Len=0,,,,,,,,9.377428,8.814897,0.562531,0.02558,0.536951
990,9.377428,192.168.1.36,198.251.205.77,TLSv1.2,538,Application Data,,,,,,,,9.403008,9.377428,0.02558,0.003787,0.021793
996,9.403008,198.251.205.77,192.168.1.36,TCP,54,443  >  50988 [ACK] Seq=6791 Ack=1655 Win=509 Len=0,,,,,,,,9.406795,9.403008,0.003787,0.040867,0.03708
997,9.406795,198.251.205.77,192.168.1.36,TLSv1.2,92,Application Data,,,,,,,,9.447662,9.406795,0.040867,,
1006,9.447662,192.168.1.36,198.251.205.77,TCP,54,50988  >  443 [ACK] Seq=1655 Ack=6829 Win=513 Len=0,,,,,,,,,total delay,8.709743,total jitter,14.327943
,,,,,,,,,,,,,,,Rata-rata delay,0.008431503,Rata-rata jitter,0.013870226
